Shape,Color,Clarity,Weight,Lab,Cut,Polish,Symmetry,Fluor,Off Rap,Price Per Carat,Total Price,Certificate No,Length,Width,Depth,Table,Girdle,Culet,Certificate Url,Video
ROUND,J,SI1,0.31,IGI,IDEAL,EXCELLENT,VERY GOOD,,-65.00,525.00,162.75,LG270767374,4.34,4.37,2.7,57.0,MEDIUM (PARTLY FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG270767374.pdf,            
ROUND,J,SI1,0.31,IGI,EXCELLENT,EXCELLENT,EXCELLENT,,-65.00,525.00,162.75,LG270767375,4.41,4.43,2.69,57.0,MEDIUM TO SLIGHTLY THICK (PARTLY FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG270767375.pdf,            
ROUND,J,SI1,0.32,IGI,EXCELLENT,EXCELLENT,EXCELLENT,,-65.00,525.00,168.00,LG245632163,4.41,4.43,2.74,57.0,MEDIUM (PARTLY FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG245632163.pdf,            
ROUND,J,SI1,0.32,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,525.00,168.00,LG270767356,4.4,4.43,2.69,57.5,MEDIUM TO SLIGHTLY THICK (PARTLY FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG270767356.pdf,https://s3.amazonaws.com/lgdvideos/LG270767356.mp4
ROUND,J,SI2,0.31,IGI,IDEAL,EXCELLENT,EXCELLENT,,-61.79,535.01,165.85,LG245632164,4.39,4.41,2.66,57.0,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG245632164.pdf,https://s3.amazonaws.com/lgdvideos/LG245632164.mp4
ROUND,J,SI1,0.33,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,525.00,173.25,LG245632162,4.46,4.48,2.72,58.0,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG245632162.pdf,https://s3.amazonaws.com/lgdvideos/LG245632162.mp4
ROUND,J,SI1,0.33,IGI,EXCELLENT,EXCELLENT,EXCELLENT,,-65.00,525.00,173.25,LG224645541,4.37,4.4,2.76,56.5,MEDIUM TO SLIGHTLY THICK (PARTLY FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG224645541.pdf,https://s3.amazonaws.com/lgdvideos/LG224645541.mp4
ROUND,J,SI1,0.33,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,525.00,173.25,LG234641365,4.49,4.52,2.74,57.5,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG234641365.pdf,https://s3.amazonaws.com/lgdvideos/LG234641365.mp4
ROUND,J,SI1,0.33,IGI,EXCELLENT,EXCELLENT,VERY GOOD,,-65.00,525.00,173.25,LG270767354,4.41,4.43,2.78,56.0,MEDIUM TO SLIGHTLY THICK (PARTLY FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG270767354.pdf,https://s3.amazonaws.com/lgdvideos/LG270767354.mp4
ROUND,J,SI2,0.32,IGI,IDEAL,EXCELLENT,EXCELLENT,,-61.79,535.01,171.20,LG208691110,4.37,4.39,2.73,0.575,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG208691110.pdf,https://s3.amazonaws.com/lgdvideos/LG208691110.mp4
